epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.46832,2.28091,5.34448,3.91439,1.99506,0.00275,0.79167,0.01134,0.00244,0.00039,0.11111,0.00056,0.00012,2.97516,5.85741,3.68488,2.54226,8e-05,8e-05,8e-05
2,11.2135,1.92937,4.74978,3.72285,1.81774,0.00333,0.95833,0.31372,0.1553,0.00256,0.73611,0.09079,0.03223,1.39557,3.44019,2.97471,1.33162,0.000179109,0.000179109,0.000179109
3,16.2991,1.44053,3.06788,2.6524,1.34194,0.00333,0.95833,0.55462,0.34113,0.00329,0.94444,0.51311,0.25527,1.19471,2.46833,2.71915,1.23958,0.000277228,0.000277228,0.000277228
4,21.1916,1.23357,2.03449,2.43698,1.24011,0.00333,0.95833,0.55857,0.28326,0.00329,0.94444,0.51071,0.19652,1.42992,2.90596,2.85797,1.38917,0.000374357,0.000374357,0.000374357
5,26.4457,1.19731,2.27119,2.20924,1.18726,0.00333,0.95833,0.55876,0.32771,0.00329,0.94444,0.49682,0.23441,1.12687,2.72664,2.72613,1.17024,0.000470496,0.000470496,0.000470496
6,31.4585,1.16201,2.14825,1.91175,1.13739,0.82372,0.3894,0.71148,0.47819,0.76496,0.36163,0.55153,0.20053,0.99573,2.60968,2.47547,1.05115,0.000565645,0.000565645,0.000565645
7,36.6444,1.19034,1.88691,1.84278,1.18032,1,0.03603,0.6194,0.40473,1,0.03603,0.60845,0.287,1.12115,2.28251,2.66163,1.12307,0.000659804,0.000659804,0.000659804
8,41.8521,1.24575,2.06228,1.83741,1.16137,0.92553,0.34529,0.72512,0.46521,0.8883,0.33141,0.66336,0.38305,1.1489,2.123,2.57043,1.09778,0.000752973,0.000752973,0.000752973
9,46.7651,1.22971,1.91516,1.86941,1.16266,0.69145,0.18056,0.53205,0.36303,0.69145,0.18056,0.48886,0.28609,1.19701,2.44206,2.66549,1.18019,0.000845152,0.000845152,0.000845152
10,51.7698,1.21404,1.81495,1.67847,1.12636,0.87078,0.56164,0.74908,0.4871,0.83992,0.54167,0.66377,0.36298,1.23089,3.68666,2.33703,1.22168,0.000936341,0.000936341,0.000936341
11,56.5989,1.25122,2.01632,1.84628,1.18085,0.754,0.375,0.64052,0.39823,0.747,0.36111,0.52612,0.23721,1.3405,3.91378,2.54168,1.34257,0.00102654,0.00102654,0.00102654
12,61.3822,1.20869,1.76757,1.70602,1.13146,0.75807,0.4788,0.65299,0.40002,0.7619,0.47222,0.63402,0.32555,1.73507,3.53654,2.49841,1.50719,0.00111575,0.00111575,0.00111575
13,66.0867,1.09908,1.62863,1.71367,1.11538,0.72836,0.52143,0.61275,0.34864,0.72033,0.50083,0.60073,0.29827,1.97156,3.35438,2.73602,1.69711,0.00120397,0.00120397,0.00120397
14,71.0936,1.27021,1.70638,1.63654,1.15211,0.60308,0.44444,0.47521,0.28267,0.61039,0.43056,0.45451,0.17355,1.87659,3.93876,2.65994,1.69209,0.0012912,0.0012912,0.0012912
15,76.0916,1.06827,1.48582,1.52127,1.12049,0.66578,0.59722,0.61711,0.32029,0.71472,0.47222,0.50955,0.18789,1.7473,4.32286,2.46829,1.42854,0.00137744,0.00137744,0.00137744
16,80.9896,1.19965,1.74338,1.70776,1.10272,0.5219,0.38889,0.42238,0.22841,0.4805,0.38889,0.38027,0.17059,2.00786,3.82919,2.91121,1.72096,0.00146269,0.00146269,0.00146269
17,85.6437,1.15294,1.80292,1.52205,1.07617,0.65541,0.58119,0.58695,0.34561,0.65541,0.58119,0.56708,0.28037,1.88737,3.62946,2.74383,1.59266,0.00154694,0.00154694,0.00154694
18,89.9855,1.10666,1.78343,1.44796,1.05694,0.71503,0.66667,0.71415,0.39761,0.69715,0.625,0.66273,0.2967,1.77138,3.48432,2.24898,1.40396,0.00163021,0.00163021,0.00163021
19,94.5331,1.1416,1.56895,1.40592,1.09427,0.5759,0.69444,0.70641,0.39009,0.60206,0.625,0.67475,0.33865,1.66604,3.45128,2.37631,1.29074,0.00171249,0.00171249,0.00171249
20,99.1955,1.1735,1.67179,1.36618,1.09356,0.74977,0.76389,0.78102,0.46043,0.68656,0.73611,0.76019,0.36833,1.42479,3.26774,2.03872,1.23666,0.00179378,0.00179378,0.00179378
21,103.884,1.05845,1.42319,1.33526,1.07631,0.62987,0.77778,0.73676,0.43521,0.54676,0.63889,0.54979,0.21419,1.55955,4.72749,2.18642,1.3952,0.001802,0.001802,0.001802
22,108.446,1.07731,1.55161,1.38605,1.0896,0.74671,0.63889,0.72014,0.42099,0.7209,0.58333,0.64632,0.26206,1.54445,4.16977,2.42317,1.38025,0.0017921,0.0017921,0.0017921
23,113.152,1.01632,1.61187,1.34379,1.0849,0.76406,0.73611,0.73674,0.38829,0.68389,0.69444,0.65506,0.25345,1.6896,3.89582,2.03396,1.58893,0.0017822,0.0017822,0.0017822
24,118.096,1.22047,1.52805,1.41893,1.14804,0.78785,0.76389,0.80216,0.41148,0.74533,0.72222,0.73839,0.33669,1.55408,3.35991,1.74283,1.30163,0.0017723,0.0017723,0.0017723
25,122.628,1.19274,1.40291,1.34404,1.07537,0.65553,0.76389,0.75658,0.42948,0.65527,0.71286,0.66024,0.34373,1.56948,3.23241,1.63733,1.32108,0.0017624,0.0017624,0.0017624
26,127.298,1.08593,1.49479,1.19684,1.08089,0.67263,0.625,0.68045,0.43422,0.6882,0.49054,0.59905,0.282,1.48627,4.2332,1.66433,1.23716,0.0017525,0.0017525,0.0017525
27,132.083,1.06353,1.40072,1.30912,1.04601,0.61069,0.56944,0.62127,0.35448,0.60302,0.52778,0.55284,0.26537,1.53087,4.09251,1.65035,1.26184,0.0017426,0.0017426,0.0017426
28,136.813,0.94439,1.35922,1.10184,1.0293,0.81803,0.70833,0.77664,0.54739,0.78595,0.68056,0.71349,0.41716,1.17804,2.76917,1.36044,1.06536,0.0017327,0.0017327,0.0017327
29,141.554,1.01194,1.22402,1.06966,1.00716,0.81574,0.76389,0.8269,0.59787,0.79939,0.75,0.77829,0.5098,1.0875,1.97234,1.21,1.00791,0.0017228,0.0017228,0.0017228
30,146.266,1.06345,1.48847,1.19892,1.08773,0.80468,0.7439,0.84293,0.54224,0.90286,0.55556,0.68888,0.4292,1.20431,3.38004,1.42703,1.05858,0.0017129,0.0017129,0.0017129
31,150.809,1.03316,1.16653,1.0943,1.01635,0.94797,0.70833,0.86668,0.54969,0.90123,0.66667,0.77194,0.41531,1.22165,4.61742,1.35099,1.06017,0.001703,0.001703,0.001703
32,155.456,1.03564,1.28108,1.09153,1.0946,0.83727,0.93056,0.92157,0.61881,0.82477,0.91667,0.89681,0.54027,1.19364,2.30435,1.29853,1.11813,0.0016931,0.0016931,0.0016931
33,160.028,1.02546,1.30151,1.13424,1.04188,0.91348,0.87983,0.93601,0.63377,0.91348,0.87983,0.92844,0.54807,1.12027,1.92948,1.06288,1.12032,0.0016832,0.0016832,0.0016832
34,164.811,1.00603,1.25993,1.12809,1.03705,0.87683,0.88985,0.92338,0.66885,0.88447,0.85065,0.8782,0.52048,1.05431,1.93385,1.03564,1.07966,0.0016733,0.0016733,0.0016733
35,169.507,1.06049,1.49184,1.13873,1.07222,0.88125,0.94444,0.93119,0.68368,0.85756,0.875,0.83952,0.51078,1.00628,1.76534,0.99621,0.99528,0.0016634,0.0016634,0.0016634
36,174.177,1.06112,1.40275,1.06215,1.02925,0.88162,0.88889,0.91478,0.6353,0.88162,0.88889,0.90951,0.57944,0.98803,1.28963,1.04606,0.96712,0.0016535,0.0016535,0.0016535
37,178.796,1.07875,1.28511,1.14507,1.05544,0.89472,0.91667,0.89904,0.629,0.90827,0.93056,0.91541,0.62018,0.96885,1.03018,1.04352,0.95766,0.0016436,0.0016436,0.0016436
38,183.49,1.01497,1.25013,1.06015,1.02128,0.90161,0.84722,0.89726,0.63165,0.91667,0.86111,0.91357,0.64718,0.91738,0.96164,1.06457,0.97128,0.0016337,0.0016337,0.0016337
39,188.245,1.02273,1.12267,1.06236,1.03126,0.87201,0.8517,0.87207,0.59503,0.8862,0.86528,0.9145,0.62424,0.91602,0.95388,1.11534,0.93892,0.0016238,0.0016238,0.0016238
40,192.918,0.96298,1.18252,1.01793,1.01545,0.88975,0.89675,0.90947,0.65492,0.90353,0.91064,0.93065,0.62282,0.93686,0.97076,0.94572,0.95732,0.0016139,0.0016139,0.0016139
41,197.819,0.97008,1.32104,0.98814,1.03144,0.91238,0.86111,0.90565,0.62861,0.91238,0.86111,0.90565,0.63875,1.00093,0.93764,0.91359,0.97774,0.001604,0.001604,0.001604
42,202.623,0.98213,1.24175,1.01928,1.0103,0.93061,0.88889,0.91322,0.57695,0.94184,0.89965,0.91411,0.63696,1.16819,1.08586,0.99568,1.04462,0.0015941,0.0015941,0.0015941
43,207.706,0.93231,1.12686,0.98764,0.99301,0.87783,0.93056,0.89974,0.6035,0.91037,0.91667,0.90188,0.615,1.04179,1.07473,0.94092,0.97122,0.0015842,0.0015842,0.0015842
44,212.682,0.95337,1.14014,0.94432,1.02588,0.84322,0.93056,0.88827,0.66874,0.85601,0.94444,0.89827,0.65605,0.88105,0.91738,0.89853,0.91106,0.0015743,0.0015743,0.0015743
45,217.625,0.89949,1.13773,0.95899,0.99916,0.90438,0.9196,0.91639,0.67408,0.918,0.93297,0.93582,0.66751,0.94788,0.9189,0.93083,0.9321,0.0015644,0.0015644,0.0015644
46,222.541,0.90854,1.1848,0.88385,0.99888,0.94973,0.90278,0.92354,0.65056,0.96475,0.91667,0.94003,0.63693,0.98992,0.97044,1.03017,0.92785,0.0015545,0.0015545,0.0015545
47,227.413,0.96453,1.02851,0.91366,1.01637,0.87794,0.86111,0.90571,0.66041,0.87794,0.86111,0.90501,0.59447,0.94368,1.15859,1.12013,0.93271,0.0015446,0.0015446,0.0015446
48,232.23,0.87077,0.99626,0.92683,0.96217,0.94957,0.90278,0.92692,0.71696,0.94957,0.90278,0.93093,0.62898,0.91158,1.05663,0.94844,0.88079,0.0015347,0.0015347,0.0015347
49,237.322,0.90835,1.31565,0.85601,0.98933,0.96684,0.93056,0.93281,0.71559,0.96684,0.93056,0.93281,0.67224,0.90065,0.90371,0.84423,0.89855,0.0015248,0.0015248,0.0015248
50,242.46,0.94855,1.18076,0.86214,0.97576,0.96735,0.93056,0.93363,0.73882,0.96735,0.93056,0.93363,0.64439,0.80116,0.96376,0.74113,0.86443,0.0015149,0.0015149,0.0015149
51,247.417,0.86735,1.25817,0.83902,0.96806,0.93124,0.875,0.91862,0.71311,0.94602,0.88889,0.94091,0.61219,0.80782,1.08598,0.8692,0.87301,0.001505,0.001505,0.001505
52,252.507,0.98265,1.14919,0.91429,1.01717,0.83735,0.78659,0.85242,0.64845,0.83735,0.78659,0.85171,0.5984,0.80371,1.07411,1.01251,0.84798,0.0014951,0.0014951,0.0014951
53,257.486,0.92792,1.22188,0.91877,1.00949,0.8427,0.8929,0.87144,0.70373,0.82965,0.8794,0.86087,0.59968,0.74742,1.24424,0.94022,0.84825,0.0014852,0.0014852,0.0014852
54,262.848,0.97726,1.28125,0.91236,1.00974,0.90233,0.89824,0.90534,0.73991,0.88838,0.88435,0.89673,0.64,0.74036,1.18183,0.83676,0.82822,0.0014753,0.0014753,0.0014753
